food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Carbohydrates,Sugars,Protein,Fiber,Cholesterol,Sodium,Nutrition_Density,Health_Score,category,new_category
pinyon pine nuts dried,673,68.4,0.02,0.04,13.1,0.0,13.7,0.01,0.0,0.07,0.4,0.16,Outros,Oleaginosas e Sementes
congee with pork shrimp and squid plus egg,178,0.3,39.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-15.2,Outros,Carnes e Ovos
apple juice martinellis,122,0.0,0.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Outros,Bebidas
pesca tea santal,116,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-14.05,Outros,Bebidas
yoplait light strawberry yogurt yoplait,79,0.0,14.1,8.8,0.07,0.0,0.0,0.0,0.0,0.0,0.4,-7.05,Outros,Frutas
nesfit diet cereal nestle,75,0.0,14.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-7.25,Outros,Grãos e Cereais
whiskey,58,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0,0.4,-0.02,Outros,Bebidas
gin,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.0,Outros,Bebidas
rum,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.0,Outros,Bebidas
pesca,30,0.1,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-3.05,Outros,Frutas
chow mein stir fry master foods,26,0.2,5.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-2.75,Outros,Comida Chinesa
eisbonbons mac iver,23,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Outros,Doces e Sobremesas
vivaldi potatoes sainsburys,23,0.1,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-2.5,Outros,Vegetais e Verduras
tomato ketchup mp,15,0.0,4.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,-2.0,Outros,Vegetais e Verduras
orange juice sainsburys,14,0.09,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.25,Outros,Bebidas
baking soda,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.4,0.0,Outros,Bebidas
milk chocolate with rice cereal,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Outros,Bebidas
epazote,1,0.06,0.0,0.0,0.09,0.0,0.06,0.05,0.0,0.02,0.4,0.19,Outros,Molhos e Temperos
chives dried,1,0.06,0.05,0.09,0.1,0.0,0.01,0.04,0.0,0.04,0.4,0.06,Outros,Vegetais e Verduras
rosemary fresh,1,0.1,0.02,0.0,0.1,0.0,0.01,0.01,0.0,0.04,0.4,0.02,Outros,Molhos e Temperos
veal shoulder raw,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,Outros,Carnes e Ovos
cola light coca cola,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.4,0.0,Outros,Bebidas
club soda,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.0,Outros,Bebidas
maitake mushrooms,1,0.02,0.01,0.06,0.07,0.04,0.02,0.04,0.0,0.06,0.4,0.08,Outros,Vegetais e Verduras
pom potes materne,19,0.2,0.2,4.8,0.2,0.07,0.0,0.0,0.0,0.0,0.4,-0.12,Outros,Processados Diversos
chives raw,1,0.09,0.08,0.09,0.1,0.02,0.03,0.04,0.0,0.1,0.42,0.08,Outros,Vegetais e Verduras
peppermint,1,0.0,0.02,0.03,0.2,0.0,0.04,0.1,0.0,0.01,0.42,0.22,Outros,Molhos e Temperos
enoki mushrooms,1,0.1,0.03,0.0,0.2,0.03,0.06,0.09,0.0,0.08,0.43,0.23,Outros,Vegetais e Verduras
instant lemon tea,2,0.0,0.0,0.0,0.3,0.05,0.1,0.0,0.0,0.05,0.49,0.19,Outros,Bebidas
parsley fresh,1,0.08,0.02,0.04,0.2,0.0,0.1,0.1,0.0,0.06,0.51,0.34,Outros,Vegetais e Verduras
thyme fresh,1,0.07,0.07,0.06,0.2,0.0,0.09,0.1,0.0,0.02,0.55,0.3,Outros,Molhos e Temperos
radish raw,1,0.03,0.08,0.09,0.2,0.07,0.04,0.0,0.0,0.03,0.56,0.03,Outros,Vegetais e Verduras
agar,1,0.06,0.09,0.01,0.3,0.01,0.05,0.03,0.0,0.05,0.59,0.1,Outros,Molhos e Temperos
heidelbeeren jutro,17,0.2,0.04,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.6,-0.02,Outros,Bebidas
tea blueberry muffin tekanne,4,0.2,0.2,0.6,0.4,0.01,0.0,0.0,0.0,0.0,0.6,-0.1,Outros,Bebidas
coriander leaves dried,2,0.1,0.1,0.09,0.3,0.05,0.1,0.1,0.0,0.02,0.63,0.28,Outros,Vegetais e Verduras
spearmint dried,1,0.02,0.09,0.02,0.3,0.0,0.09,0.1,0.0,0.01,0.65,0.29,Outros,Frutas
crimini mushrooms,1,0.02,0.05,0.01,0.3,0.1,0.2,0.06,0.0,0.09,0.68,0.44,Outros,Vegetais e Verduras
saffron,2,0.09,0.05,0.1,0.5,0.0,0.07,0.0,0.0,0.06,0.68,0.12,Outros,Molhos e Temperos
gatorade g2 pepsi,2,0.05,0.0,0.0,0.6,0.4,0.07,0.0,0.0,0.01,0.69,0.02,Outros,Bebidas
acerola cherry,2,0.05,0.07,0.09,0.4,0.0,0.08,0.08,0.0,0.09,0.71,0.24,Outros,Frutas
black tea,2,0.0,0.07,0.03,0.7,0.0,0.0,0.0,0.0,0.09,0.72,-0.04,Outros,Bebidas
basil fresh,2,0.09,0.07,0.02,0.2,0.06,0.2,0.1,0.0,0.06,0.75,0.5,Outros,Vegetais e Verduras
chanterelle mushrooms,2,0.06,0.0,0.0,0.4,0.08,0.03,0.2,0.0,0.03,0.76,0.34,Outros,Bebidas
straw mushrooms canned,2,0.09,0.1,0.06,0.3,0.0,0.2,0.1,0.0,0.05,0.77,0.5,Outros,Vegetais e Verduras
bran flakes asda,109,0.6,0.2,19.5,0.2,0.0,0.0,0.0,0.0,0.0,0.8,-0.1,Outros,Grãos e Cereais
green olives pickled,4,0.4,0.06,0.3,0.1,0.05,0.07,0.06,0.0,0.1,0.8,0.18,Outros,Vegetais e Verduras
cooking wine,2,0.0,0.0,0.0,0.3,0.09,0.03,0.0,0.0,0.0,0.88,0.03,Outros,Bebidas
garden cress raw,3,0.06,0.05,0.05,0.5,0.4,0.2,0.06,0.0,0.08,0.89,0.35,Outros,Vegetais e Verduras
tea with milk and sugar yorkshire,15,0.5,0.3,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.9,-0.15,Outros,Bebidas
serrano pepper,2,0.08,0.07,0.0,0.4,0.2,0.1,0.2,0.0,0.07,0.9,0.4,Outros,Vegetais e Verduras
american grapes,2,0.09,0.03,0.08,0.4,0.4,0.04,0.09,0.0,0.06,0.93,0.07,Outros,Frutas
cayenne pepper,1,0.09,0.04,0.08,0.2,0.09,0.04,0.05,0.0,0.06,0.99,0.11,Outros,Vegetais e Verduras
whole wheat bread natures own,50,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.5,Outros,Grãos e Cereais
basil dried,2,0.03,0.02,0.04,0.3,0.05,0.2,0.3,0.0,0.09,1.0,0.82,Outros,Vegetais e Verduras
vinegar,3,0.0,0.0,0.0,0.09,0.06,0.0,0.0,0.0,0.02,1.02,-0.02,Outros,Molhos e Temperos
chum salmon raw,142,6.3,0.08,0.04,0.0,0.0,19.8,0.0,2.1,0.03,1.03,1.16,Outros,Carnes e Ovos
ginger root,2,0.03,0.05,0.07,0.4,0.02,0.07,0.06,0.0,0.0,1.03,0.19,Outros,Bebidas
mustard,3,0.2,0.02,0.1,0.3,0.05,0.2,0.2,0.0,0.02,1.05,0.68,Outros,Molhos e Temperos
tabasco sauce,1,0.0,0.05,0.09,0.01,0.07,0.05,0.01,0.0,0.08,1.05,0.06,Outros,Molhos e Temperos
shallots dried,3,0.01,0.06,0.04,0.7,0.3,0.1,0.1,0.0,0.06,1.07,0.23,Outros,Vegetais e Verduras
hot chile pepper dried,2,0.05,0.0,0.01,0.3,0.2,0.05,0.1,0.0,0.04,1.07,0.2,Outros,Vegetais e Verduras
filinchen gutena,19,0.2,0.06,3.6,0.5,0.03,0.4,0.0,0.0,0.0,1.1,0.76,Outros,Panificação
cider vinegar,3,0.0,0.0,0.0,0.1,0.02,0.0,0.0,0.0,0.01,1.12,-0.01,Outros,Molhos e Temperos
horseradish,2,0.09,0.01,0.01,0.6,0.4,0.0,0.2,0.0,0.04,1.13,0.18,Outros,Vegetais e Verduras
dill weed fresh,4,0.06,0.06,0.02,0.6,0.0,0.3,0.2,0.0,0.02,1.2,0.87,Outros,Molhos e Temperos
vanilla extract,12,0.07,0.0,0.06,0.5,0.5,0.0,0.0,0.0,0.06,1.21,-0.15,Outros,Molhos e Temperos
jellybeans,4,0.04,0.0,0.0,1.0,0.8,0.0,0.08,0.0,0.08,1.22,-0.12,Outros,Doces e Sobremesas
red wine vinegar,3,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.0,0.09,1.22,0.11,Outros,Bebidas
rolo nestle,24,1.0,0.6,3.4,0.2,0.08,0.01,0.0,0.0,0.0,1.23,-0.31,Outros,Doces e Sobremesas
multigrain cheerios general mills,4,0.01,0.0,0.08,1.0,0.2,0.04,0.1,0.07,0.0,1.25,0.17,Outros,Grãos e Cereais
garlic,4,0.03,0.03,0.08,0.9,0.04,0.2,0.06,0.0,0.02,1.25,0.47,Outros,Molhos e Temperos
spearmint fresh,3,0.09,0.05,0.07,0.5,0.0,0.2,0.4,0.0,0.09,1.26,0.98,Outros,Frutas
espresso,3,0.09,0.07,0.0,0.5,0.0,0.02,0.0,0.0,0.08,1.26,0.01,Outros,Bebidas
